epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,139.784,0.50068,2.36507,0.94299,0.97376,0.81818,0.93788,0.67379,0.73922,3.31073,1.08734,0.00255531,0.00255531,0.00255531
128,140.872,0.55501,2.61426,0.92521,0.87659,0.90289,0.94134,0.6731,0.73472,3.33351,1.06697,0.00254861,0.00254861,0.00254861
129,142.007,0.51909,2.37337,0.89748,0.98818,0.81818,0.94098,0.68259,0.70182,3.24399,1.02877,0.00254186,0.00254186,0.00254186
130,143.092,0.51893,2.36704,0.87879,0.97478,0.81818,0.94098,0.69005,0.68608,3.27417,1.02299,0.00253507,0.00253507,0.00253507
131,144.182,0.53292,2.8902,0.9404,0.97764,0.858,0.94703,0.6913,0.69283,3.28626,1.0027,0.00252824,0.00252824,0.00252824
132,145.263,0.52003,2.31972,0.91731,0.97726,0.85629,0.94618,0.68544,0.68921,3.40341,1.01727,0.00252137,0.00252137,0.00252137
133,146.353,0.52966,2.46236,0.90541,0.99305,0.85148,0.94464,0.65356,0.73167,3.93667,1.08523,0.00251446,0.00251446,0.00251446
134,147.412,0.5087,2.35246,0.90158,0.99305,0.85148,0.94464,0.65356,0.73167,3.93667,1.08523,0.00250751,0.00250751,0.00250751
135,148.509,0.50739,2.35066,0.88106,0.99492,0.83795,0.92019,0.65388,0.75364,4.23432,1.13996,0.00250052,0.00250052,0.00250052
136,149.588,0.48126,2.27936,0.9233,1,0.82992,0.95,0.62844,0.7734,4.30424,1.17292,0.00249349,0.00249349,0.00249349
137,150.755,0.48373,2.36394,0.88739,0.93374,0.81818,0.9404,0.64558,0.7603,3.81913,1.14866,0.00248642,0.00248642,0.00248642
138,151.839,0.50888,2.34554,0.90042,0.86775,0.87928,0.9404,0.66046,0.75302,3.76657,1.13658,0.00247932,0.00247932,0.00247932
139,152.909,0.53582,2.46062,0.93797,0.87324,0.93966,0.94126,0.67978,0.7401,3.61415,1.11596,0.00247217,0.00247217,0.00247217
140,153.99,0.5183,2.35514,0.93832,0.93269,0.86364,0.94456,0.67273,0.697,3.37844,1.08001,0.00246499,0.00246499,0.00246499
141,155.08,0.49637,2.29019,0.88183,0.92543,0.86364,0.94233,0.6666,0.71302,3.43325,1.07818,0.00245777,0.00245777,0.00245777
142,156.154,0.50612,2.35497,0.9183,0.92543,0.86364,0.94233,0.6666,0.71302,3.43325,1.07818,0.00245051,0.00245051,0.00245051
143,157.228,0.5083,2.29615,0.93498,0.91135,0.86364,0.9441,0.66814,0.7002,3.72722,1.03456,0.00244321,0.00244321,0.00244321
